,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,windy,cntN,casualN,registeredN
0,1,2011-01-01,4,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,1,2.9488391231,0.57735026919,0.277350098113
1,2,2011-01-01,4,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,1,2.67261241912,0.353553390593,0.176776695297
2,3,2011-01-01,4,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,1,2.75240941282,0.4472135955,0.19245008973
3,4,2011-01-01,4,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,1,2.98807152334,0.57735026919,0.316227766017
4,5,2011-01-01,4,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,1,3.16227766017,inf,1.0
5,6,2011-01-01,4,0,1,5,0,6,0,1,0.24,0.2576,0.75,0.0896,0,1,1,0,3.16227766017,inf,1.0
6,7,2011-01-01,4,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,1,3.14658387764,0.707106781187,inf
7,8,2011-01-01,4,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,1,3.13112145543,1.0,0.707106781187
8,9,2011-01-01,4,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,1,3.05708920258,1.0,0.377964473009
9,10,2011-01-01,4,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,1,2.97482058654,0.353553390593,0.408248290464
10,11,2011-01-01,4,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,0,2.71163072273,0.288675134595,0.204124145232
11,12,2011-01-01,4,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,0,2.53184841771,0.196116135138,0.182574185835
12,13,2011-01-01,4,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,0,2.32495277488,0.185695338177,0.134839972493
13,14,2011-01-01,4,0,1,13,0,6,0,1,0.46,0.4545,0.72,0.2985,47,47,94,0,2.26455406829,0.145864991498,0.145864991498
14,15,2011-01-01,4,0,1,14,0,6,0,1,0.46,0.4545,0.72,0.2836,35,71,106,0,2.19264504827,0.169030850946,0.118678165819
15,16,2011-01-01,4,0,1,15,0,6,0,1,0.44,0.4394,0.77,0.2985,40,70,110,0,2.17186121382,0.158113883008,0.119522860933
16,17,2011-01-01,4,0,1,16,0,6,0,1,0.42,0.4242,0.82,0.2985,41,52,93,0,2.27038304593,0.156173761889,0.138675049056
17,18,2011-01-01,4,0,1,17,0,6,0,1,0.44,0.4394,0.82,0.2836,15,52,67,0,2.43975018237,0.258198889747,0.138675049056
18,19,2011-01-01,4,0,1,18,0,6,0,0,0.42,0.4242,0.88,0.2537,9,26,35,0,2.72165526976,0.333333333333,0.196116135138
19,20,2011-01-01,4,0,1,19,0,6,0,0,0.42,0.4242,0.88,0.2537,6,31,37,0,2.70171613479,0.408248290464,0.179605302027
20,21,2011-01-01,4,0,1,20,0,6,0,1,0.4,0.4091,0.87,0.2537,11,25,36,0,2.71163072273,0.301511344578,0.2
21,22,2011-01-01,4,0,1,21,0,6,0,1,0.4,0.4091,0.87,0.194,3,31,34,0,2.73179182354,0.57735026919,0.179605302027
22,23,2011-01-01,4,0,1,22,0,6,0,1,0.4,0.4091,0.94,0.2239,11,17,28,0,2.79508497187,0.301511344578,0.242535625036
23,24,2011-01-01,4,0,1,23,0,6,0,1,0.46,0.4545,0.88,0.2985,15,24,39,0,2.68220890393,0.258198889747,0.204124145232
24,25,2011-01-02,4,0,1,0,0,0,0,1,0.46,0.4545,0.88,0.2985,4,13,17,0,2.93610109757,0.5,0.277350098113
25,26,2011-01-02,4,0,1,1,0,0,0,1,0.44,0.4394,0.94,0.2537,1,16,17,0,2.93610109757,1.0,0.25
26,27,2011-01-02,4,0,1,2,0,0,0,1,0.42,0.4242,1.0,0.2836,1,8,9,0,3.04290309725,1.0,0.353553390593
27,28,2011-01-02,4,0,1,3,0,0,0,1,0.46,0.4545,0.94,0.194,2,4,6,0,3.08606699924,0.707106781187,0.5
28,29,2011-01-02,4,0,1,4,0,0,0,1,0.46,0.4545,0.94,0.194,2,1,3,0,3.13112145543,0.707106781187,1.0
