,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,windy,cntN,casualN,registeredN
53,54,2011-01-03,4,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,0,1.97257460788,1.0,0.0808452083454
62,63,2011-01-03,4,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,0,1.96116135138,0.301511344578,0.0827605888602
63,64,2011-01-03,4,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,0,1.96116135138,0.333333333333,0.0821994936527
76,77,2011-01-04,4,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,0,1.88310894289,0.707106781187,0.0751646028003
85,86,2011-01-04,4,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,0,1.77892016741,0.316227766017,0.070359754473
86,87,2011-01-04,4,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,0,1.87317162316,0.57735026919,0.0747435092752
99,100,2011-01-05,4,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,0,1.8287923899,0.57735026919,0.0721687836487
108,109,2011-01-05,4,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,0,1.84427778391,0.5,0.0733235575107
109,110,2011-01-05,4,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,0,1.91741247212,0.57735026919,0.0776150525706
110,111,2011-01-05,4,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,0,2.06724557649,0.4472135955,0.0887356509416
122,123,2011-01-06,4,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,1,1.75953835769,0.57735026919,0.068041381744
131,132,2011-01-06,4,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,0,1.90692517849,0.333333333333,0.0783260449988
132,133,2011-01-06,4,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,0,1.93891683582,0.4472135955,0.0795557284176
145,146,2011-01-07,4,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,0,1.78457652562,0.22360679775,0.072547625011
146,147,2011-01-07,4,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,0,2.05846742398,0.333333333333,0.0894427191
154,155,2011-01-07,4,0,1,17,0,5,1,1,0.2,0.2576,0.37,0.0,9,178,187,1,1.85695338177,0.333333333333,0.0749531688996
217,218,2011-01-10,4,0,1,8,0,1,1,1,0.12,0.1212,0.5,0.2836,4,184,188,0,1.85058302549,0.5,0.0737209780774
226,227,2011-01-10,4,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,0,1.88645669476,0.5,0.0758098043579
227,228,2011-01-10,4,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155,0,1.9687480774,1.0,0.0805822964025
239,240,2011-01-11,4,0,1,8,0,2,1,1,0.18,0.2121,0.51,0.0896,3,214,217,0,1.76501127405,0.57735026919,0.0683585927025
240,241,2011-01-11,4,0,1,9,0,2,1,1,0.18,0.197,0.51,0.1642,3,127,130,0,2.07613699634,0.57735026919,0.0887356509416
248,249,2011-01-11,4,0,1,17,0,2,1,1,0.16,0.1515,0.86,0.2239,6,130,136,0,2.04980015423,0.408248290464,0.0877058019307
270,271,2011-01-12,4,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,0,139,139,0,2.03700210932,inf,0.084818892968
271,272,2011-01-12,4,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,2,135,137,0,2.04550737432,0.707106781187,0.0860662965824
285,286,2011-01-13,4,0,1,8,0,4,1,1,0.14,0.1364,0.5,0.194,5,197,202,0,1.80775381516,0.4472135955,0.0712470499879
286,287,2011-01-13,4,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,2,137,139,0,2.03700210932,0.707106781187,0.0854357657717
294,295,2011-01-13,4,0,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836,4,158,162,0,1.94257172471,0.5,0.0795557284176
295,296,2011-01-13,4,0,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284,3,141,144,0,2.01619459636,0.57735026919,0.0842151921067
308,309,2011-01-14,4,0,1,8,0,5,1,1,0.12,0.1667,0.68,0.0,2,156,158,1,1.95740073172,0.707106781187,0.0800640769025
317,318,2011-01-14,4,0,1,17,0,5,1,1,0.22,0.2273,0.41,0.1642,4,155,159,0,1.95366166291,0.5,0.0803219328902
318,319,2011-01-14,4,0,1,18,0,5,1,1,0.2,0.2576,0.47,0.0,5,134,139,1,2.03700210932,0.4472135955,0.0863868425581
402,403,2011-01-18,4,0,1,18,0,2,1,1,0.22,0.2273,0.8,0.1642,1,132,133,0,2.06284249252,1.0,0.0870388279778
415,416,2011-01-19,4,0,1,8,0,3,1,1,0.24,0.2576,0.93,0.1045,1,196,197,0,1.82270654144,1.0,0.0714285714286
424,425,2011-01-19,4,0,1,17,0,3,1,1,0.36,0.3333,0.57,0.3284,7,190,197,0,1.82270654144,0.377964473009,0.072547625011
425,426,2011-01-19,4,0,1,18,0,3,1,1,0.34,0.3182,0.61,0.2836,5,156,161,0,1.9462473604,0.4472135955,0.0800640769025
439,440,2011-01-20,4,0,1,8,0,4,1,1,0.22,0.2121,0.55,0.2836,2,247,249,0,1.68073161363,0.707106781187,0.0636284762976
440,441,2011-01-20,4,0,1,9,0,4,1,1,0.24,0.2273,0.52,0.2239,3,140,143,0,2.01619459636,0.57735026919,0.0845154254729
448,449,2011-01-20,4,0,1,17,0,4,1,1,0.3,0.3182,0.49,0.1045,8,207,215,0,1.77053557949,0.353553390593,0.0695048046857
449,450,2011-01-20,4,0,1,18,0,4,1,1,0.26,0.2576,0.56,0.194,1,184,185,0,1.86338998125,1.0,0.0737209780774
450,451,2011-01-20,4,0,1,19,0,4,1,1,0.26,0.2273,0.56,0.3284,6,146,152,0,1.98029508595,0.408248290464,0.0827605888602
463,464,2011-01-21,4,0,1,8,0,5,1,1,0.2,0.1818,0.47,0.3284,7,210,217,0,1.76501127405,0.377964473009,0.0690065559342
464,465,2011-01-21,4,0,1,9,0,5,1,1,0.2,0.1818,0.51,0.3582,7,159,166,0,1.9280747182,0.377964473009,0.0793051585718
472,473,2011-01-21,4,0,1,17,0,5,1,1,0.14,0.1212,0.28,0.3582,10,151,161,0,1.9462473604,0.316227766017,0.0813788458771
532,533,2011-01-24,4,0,1,8,0,1,1,1,0.04,0.1364,0.49,0.0,6,171,177,1,1.88982236505,0.408248290464,0.0764719112902
541,542,2011-01-24,4,0,1,17,0,1,1,1,0.14,0.1212,0.5,0.2537,6,178,184,0,1.86338998125,0.408248290464,0.0749531688996
542,543,2011-01-24,4,0,1,18,0,1,1,1,0.14,0.1364,0.59,0.194,8,145,153,0,1.97642353761,0.353553390593,0.0830454798537
555,556,2011-01-25,4,0,1,8,0,2,1,1,0.16,0.1818,0.74,0.1343,5,233,238,0,1.70746944191,0.4472135955,0.065512178208
556,557,2011-01-25,4,0,1,9,0,2,1,1,0.2,0.2273,0.64,0.0896,10,134,144,0,2.01619459636,0.316227766017,0.0863868425581
564,565,2011-01-25,4,0,1,17,0,2,1,1,0.3,0.3333,0.45,0.0,14,208,222,1,1.75142361026,0.267261241912,0.0693375245282
565,566,2011-01-25,4,0,1,18,0,2,1,1,0.3,0.3182,0.49,0.0896,7,218,225,0,1.74077655956,0.377964473009,0.0677285461479
566,567,2011-01-25,4,0,1,19,0,2,1,1,0.26,0.2576,0.65,0.1642,13,133,146,0,2.00804832226,0.277350098113,0.0867109969524
602,603,2011-01-28,4,0,1,8,0,5,1,1,0.16,0.197,0.86,0.0896,2,155,157,0,1.96116135138,0.707106781187,0.0803219328902
611,612,2011-01-28,4,0,1,17,0,5,1,1,0.24,0.2424,0.75,0.1343,2,147,149,0,1.99204768222,0.707106781187,0.0824786098842
672,673,2011-01-31,4,0,1,8,0,1,1,1,0.16,0.1364,0.59,0.2836,3,182,185,0,1.86338998125,0.57735026919,0.0741249316661
681,682,2011-01-31,4,0,1,17,0,1,1,1,0.16,0.1515,0.59,0.194,6,155,161,0,1.9462473604,0.408248290464,0.0803219328902
682,683,2011-01-31,4,0,1,18,0,1,1,1,0.16,0.1515,0.55,0.2239,3,153,156,0,1.96494372973,0.57735026919,0.0808452083454
695,696,2011-02-01,4,0,2,8,0,2,1,0,0.16,0.2273,0.93,0.0,3,132,135,1,2.05412007504,0.57735026919,0.0870388279778
704,705,2011-02-01,4,0,2,17,0,2,1,1,0.24,0.2879,0.75,0.0,4,172,176,1,1.89320611416,0.5,0.0762492851663
705,706,2011-02-01,4,0,2,18,0,2,1,1,0.24,0.2576,0.81,0.1045,3,165,168,0,1.92094687599,0.57735026919,0.0778498944162
719,720,2011-02-02,4,0,2,8,0,3,1,0,0.22,0.2121,0.93,0.2239,1,154,155,0,1.9687480774,1.0,0.0805822964025
728,729,2011-02-02,4,0,2,17,0,3,1,1,0.36,0.3182,0.53,0.5224,7,183,190,0,1.84427778391,0.377964473009,0.0739221270955
729,730,2011-02-02,4,0,2,18,0,3,1,1,0.34,0.2879,0.42,0.5522,7,175,182,0,1.87317162316,0.377964473009,0.0755928946018
